考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,客观总分,主观总分,全卷总分,客观错题题号
100113,桑名真希,0,0,0,0,5,0,5,0,0,0,0,0,0,5,2,3,3,3,3,15,14,29,"Q1,Q2,Q3,Q4,Q6,Q8,Q9,Q10,Q11,Q12,Q13"
100114,进藤光,5,5,0,0,5,5,0,0,0,0,3,0,0,5,4,3,5,4,5,28,21,49,"Q3,Q4,Q7,Q8,Q9,Q10,Q12,Q13"
100115,塔矢亮,5,5,0,0,0,0,0,0,0,0,3,5,0,5,2,2,3,4,3,23,14,37,"Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q13"
100116,藤原佐为,5,5,5,0,0,0,0,0,0,6,6,5,0,0,4,6,6,5,5,32,26,58,"Q4,Q5,Q6,Q7,Q8,Q9,Q13,Q14"
100117,和谷义高,5,0,0,5,0,0,0,0,6,3,6,0,5,0,5,4,5,4,5,30,23,53,"Q2,Q3,Q5,Q6,Q7,Q8,Q12,Q14"
100118,竹本祐太,5,5,5,5,5,5,5,5,6,0,6,5,5,5,11,9,8,12,12,67,52,119,Q10
100119,森田忍,5,5,5,0,5,5,0,5,0,6,6,5,5,0,4,5,6,6,7,52,28,80,"Q4,Q7,Q9,Q14"
100120,真山巧,5,5,5,5,0,5,5,5,6,6,0,0,5,0,8,10,10,10,11,52,49,101,"Q5,Q11,Q12,Q14"
100121,山田亚弓,5,5,5,5,5,5,5,5,0,3,3,5,5,0,8,12,10,13,11,56,54,110,"Q9,Q14"
100122,花本育,5,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,3,3,3,10,15,25,"Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100123,野田惠,0,0,0,0,0,0,5,0,0,0,0,0,5,5,2,2,4,5,5,15,18,33,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12"
100124,千秋真一,5,5,5,5,5,5,5,5,0,6,6,5,5,5,6,9,12,10,15,67,52,119,Q9
100125,奥山真澄,5,0,0,0,0,5,0,0,0,0,0,0,5,0,2,2,2,3,3,15,12,27,"Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q14"
100126,峰龙太郎,0,5,5,0,5,0,5,0,6,6,3,0,5,5,4,6,7,9,8,45,34,79,"Q1,Q4,Q6,Q8,Q12"
100127,日野香穗子,5,5,5,0,5,5,5,5,0,3,3,5,5,0,8,8,9,8,7,51,40,91,"Q4,Q9,Q14"
100128,月森莲,0,0,0,5,5,0,0,5,0,0,0,5,0,0,5,4,4,4,5,20,22,42,"Q1,Q2,Q3,Q6,Q7,Q9,Q10,Q11,Q13,Q14"
100129,土浦梁太郎,0,5,5,5,5,5,5,0,3,3,0,5,5,5,5,11,11,13,8,51,48,99,"Q1,Q8,Q11"
100130,志水桂一,5,5,5,5,5,5,5,5,6,6,6,5,5,5,7,10,11,10,9,73,47,120,
100131,泷岛彗,5,5,5,5,5,5,5,5,6,6,0,0,5,5,8,10,10,10,12,62,50,112,"Q11,Q12"
100132,华园光,5,0,5,0,0,5,5,5,0,6,0,0,0,0,4,3,5,4,5,31,21,52,"Q2,Q4,Q5,Q9,Q11,Q12,Q13,Q14"
100133,杂贺八寻,0,5,0,0,0,0,5,5,0,0,0,0,0,5,5,4,4,6,5,20,24,44,"Q1,Q3,Q4,Q5,Q6,Q9,Q10,Q11,Q12,Q13"
100134,狩野宙,0,0,5,5,5,0,5,5,0,0,0,0,0,5,3,7,5,4,7,30,26,56,"Q1,Q2,Q6,Q9,Q10,Q11,Q12,Q13"
100135,鲇泽美咲,0,0,5,0,0,0,0,0,6,6,0,0,0,0,3,3,3,3,3,17,15,32,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q11,Q12,Q13,Q14"
100136,碓冰拓海,0,0,0,0,5,5,5,0,6,6,0,0,5,0,3,2,2,3,2,32,12,44,"Q1,Q2,Q3,Q4,Q8,Q11,Q12,Q14"
100137,花园樱,5,0,5,0,0,0,5,0,0,3,0,0,5,0,4,4,4,5,4,23,21,44,"Q2,Q4,Q5,Q6,Q8,Q9,Q11,Q12,Q14"
100138,加贺静子,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,3,10,16,26,"Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100139,藤冈春绯,0,5,5,5,0,5,5,0,0,0,6,5,5,5,5,8,7,13,10,46,43,89,"Q1,Q5,Q8,Q9,Q10"
100140,须王环,5,5,0,5,0,0,5,0,0,6,6,5,0,0,4,4,4,4,4,37,20,57,"Q3,Q5,Q6,Q8,Q9,Q13,Q14"
100141,凤镜夜,0,0,5,0,0,0,0,5,0,3,0,0,0,0,2,3,2,4,3,13,14,27,"Q1,Q2,Q4,Q5,Q6,Q7,Q9,Q11,Q12,Q13,Q14"
100142,常陆院光,0,0,0,5,0,5,5,5,0,0,6,0,5,0,4,4,6,6,6,31,26,57,"Q1,Q2,Q3,Q5,Q9,Q10,Q12,Q14"
100143,常陆院馨,0,0,5,0,0,0,0,0,6,0,0,5,0,0,3,3,4,3,5,16,18,34,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q13,Q14"
100144,冢本天满,0,5,0,0,0,0,5,0,0,0,0,0,0,0,2,2,3,2,3,10,12,22,"Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100145,播磨拳儿,5,0,5,5,5,5,5,5,0,0,6,0,0,5,7,5,9,8,10,46,39,85,"Q2,Q9,Q10,Q12,Q13"
100146,泽近爱理,0,5,0,5,5,0,0,0,0,0,0,0,5,5,4,5,4,4,4,25,21,46,"Q1,Q3,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100147,周防美琴,0,0,5,0,0,5,0,0,0,0,0,0,5,0,5,4,4,5,6,15,24,39,"Q1,Q2,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q14"
100148,宫前佳奈子,0,5,5,5,0,0,5,5,6,6,0,0,0,0,3,4,4,6,6,37,23,60,"Q1,Q5,Q6,Q11,Q12,Q13,Q14"
100149,祇堂鞠也,5,5,5,5,0,5,5,5,6,0,6,5,5,5,6,7,5,8,11,62,37,99,"Q5,Q10"
100150,汐王寺茉莉花,0,5,0,5,0,5,5,5,6,3,0,5,5,0,6,8,8,9,12,44,43,87,"Q1,Q3,Q5,Q11,Q14"
